,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades
36,Philadelphia 76ers,1964,34,FALSE,0,0,0,0,0,0,0,0,0,3,0,2,0.418,0,0,8116,0.418,0.766,64.2,20.5,0,0,0,112.2,5
37,New York Knicks,1964,22,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.445,0,0,7888,0.445,0.684,63.3,19.5,0,0,0,112.2,2
38,Golden State Warriors,1964,48,FALSE,0,1,0,0,1,0,0,0,0,2,2,2,0.438,0,0,7779,0.438,0.638,68.7,23.7,0,0,0,107.7,8
39,Atlanta Hawks,1964,46,FALSE,0,0,0,0,0,0,0,0,0,2,1,3,0.43,0,0,7776,0.43,0.757,62,23.8,0,0,0,110,6
40,Los Angeles Lakers,1964,42,FALSE,0,0,0,0,0,0,0,0,0,2,2,6,0.44,0,0,7438,0.44,0.766,62.8,21,0,0,0,109.7,10
41,Washington Wizards,1964,31,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.44,0,0,7862,0.44,0.688,68.3,17.8,0,0,0,111.9,3
42,Detroit Pistons,1964,23,FALSE,0,0,0,0,0,0,0,0,0,2,1,2,0.421,0,0,7943,0.421,0.718,64.3,20.4,0,0,0,107.8,5
43,Boston Celtics,1965,62,TRUE,1,0,1,0,0,0,0,0,0,2,2,6,0.414,0,0,8609,0.414,0.731,71.9,22.2,0,0,0,112.8,12
44,Sacramento Kings,1965,48,FALSE,0,0,0,1,1,0,0,0,0,3,0,5,0.447,0,0,7797,0.447,0.757,67.3,23,0,0,0,114.2,10
45,Philadelphia 76ers,1965,40,FALSE,0,1,0,0,0,0,0,0,1,4,1,5,0.422,0,0,8028,0.422,0.738,65.6,21.2,0,0,0,112.5,12
46,New York Knicks,1965,31,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.426,0,0,7834,0.426,0.713,65.1,19.4,0,0,0,107.4,3
47,Los Angeles Lakers,1965,49,FALSE,0,0,0,0,0,0,0,0,0,2,2,6,0.437,0,0,7628,0.437,0.763,65.4,20,0,0,0,111.9,10
48,Atlanta Hawks,1965,45,FALSE,0,0,0,0,0,0,0,0,0,2,2,3,0.424,0,0,7710,0.424,0.736,65.1,21.1,0,0,0,108.8,7
49,Washington Wizards,1965,37,FALSE,0,0,0,0,0,0,0,0,0,3,1,0,0.442,0,0,7734,0.442,0.714,66.2,21,0,0,0,113.6,4
50,Detroit Pistons,1965,31,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0.418,0,0,8297,0.418,0.689,67.4,20.1,0,0,0,108.5,3
51,Golden State Warriors,1965,17,FALSE,0,1,0,0,0,0,0,0,0,2,2,3,0.403,0,0,8245,0.403,0.64,71.4,20.7,0,0,0,105.8,8
52,Philadelphia 76ers,1966,55,FALSE,1,1,1,0,1,0,0,0,0,3,1,4,0.446,0,0,8189,0.446,0.664,70.7,23.8,0,0,0,117.3,12
