,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades,Franchise ID
23,Atlanta Hawks,1962.0,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.43,0.0,0.0,8461.0,0.43,0.757,69.5,25.0,0.0,0.0,0.0,118.9,5.0,Hawks
24,Washington Wizards,1962.0,18.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.412,0.0,0.0,8405.0,0.412,0.673,69.3,22.5,0.0,0.0,0.0,110.9,1.0,Wizards
25,Boston Celtics,1963.0,58.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.427,0.0,0.0,8779.0,0.427,0.725,72.7,24.5,0.0,0.0,0.0,118.8,12.0,Celtics
26,Philadelphia 76ers,1963.0,48.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.445,0.0,0.0,8290.0,0.445,0.782,69.0,21.8,0.0,0.0,0.0,121.6,4.0,76ers
27,Sacramento Kings,1963.0,42.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.459,0.0,0.0,7998.0,0.459,0.747,69.5,24.1,0.0,0.0,0.0,119.1,7.0,Kings
28,New York Knicks,1963.0,21.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.429,0.0,0.0,8007.0,0.429,0.71,61.9,20.7,0.0,0.0,0.0,110.5,5.0,Knicks
29,Los Angeles Lakers,1963.0,53.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.441,0.0,0.0,7948.0,0.441,0.761,66.0,21.7,0.0,0.0,0.0,115.5,11.0,Lakers
30,Atlanta Hawks,1963.0,48.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.431,0.0,0.0,7780.0,0.431,0.729,63.7,23.8,0.0,0.0,0.0,109.6,6.0,Hawks
31,Detroit Pistons,1963.0,34.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.432,0.0,0.0,8188.0,0.432,0.717,66.4,21.6,0.0,0.0,0.0,113.9,3.0,Pistons
32,Golden State Warriors,1963.0,31.0,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.45,0.0,0.0,8449.0,0.45,0.669,67.0,23.8,0.0,0.0,0.0,118.5,12.0,Warriors
33,Washington Wizards,1963.0,25.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.453,0.0,0.0,7448.0,0.453,0.697,64.3,22.2,0.0,0.0,0.0,109.9,2.0,Wizards
34,Boston Celtics,1964.0,59.0,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,0.413,0.0,0.0,8770.0,0.413,0.725,71.7,22.0,0.0,0.0,0.0,113.0,12.0,Celtics
35,Sacramento Kings,1964.0,55.0,False,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.453,0.0,0.0,7761.0,0.453,0.759,67.5,24.0,0.0,0.0,0.0,114.7,8.0,Kings
36,Philadelphia 76ers,1964.0,34.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.418,0.0,0.0,8116.0,0.418,0.766,64.2,20.5,0.0,0.0,0.0,112.2,5.0,76ers
